vraie_espece,couv_std,n_obs,groupe,couv_pas,diff
19,1.0,13,Rare,1.0,0.0
27,0.5,2,Rare,0.5,0.0
31,1.0,1,Rare,1.0,0.0
48,1.0,1,Rare,1.0,0.0
52,1.0,1,Rare,1.0,0.0
115,0.0,1,Rare,0.0,0.0
125,1.0,1,Rare,1.0,0.0
155,1.0,4,Rare,1.0,0.0
191,1.0,1,Rare,1.0,0.0
209,1.0,1,Rare,1.0,0.0
358,1.0,20,Commun,1.0,0.0
369,1.0,1,Rare,1.0,0.0
373,0.9285714285714286,28,Commun,0.9285714285714286,0.0
376,1.0,1,Rare,1.0,0.0
409,1.0,20,Commun,1.0,0.0
412,1.0,8,Commun,1.0,0.0
417,1.0,9,Rare,1.0,0.0
418,1.0,2,Rare,1.0,0.0
425,1.0,17,Rare,1.0,0.0
426,1.0,16,Commun,1.0,0.0
433,1.0,1,Rare,1.0,0.0
483,1.0,7,Rare,1.0,0.0
493,1.0,1,Rare,1.0,0.0
495,1.0,23,Commun,1.0,0.0
497,1.0,3,Rare,1.0,0.0
498,1.0,1,Rare,1.0,0.0
499,1.0,1,Rare,1.0,0.0
503,1.0,1,Rare,1.0,0.0
529,1.0,1,Rare,1.0,0.0
655,1.0,7,Rare,1.0,0.0
657,1.0,12,Commun,1.0,0.0
749,1.0,2,Rare,1.0,0.0
846,1.0,1,Rare,1.0,0.0
877,0.6666666666666666,3,Rare,0.6666666666666666,0.0
879,0.75,4,Rare,0.75,0.0
881,1.0,1,Rare,1.0,0.0
911,1.0,5,Rare,1.0,0.0
923,1.0,1,Rare,1.0,0.0
970,1.0,1,Rare,1.0,0.0
975,1.0,1,Rare,1.0,0.0
981,1.0,1,Rare,1.0,0.0
983,1.0,2,Rare,1.0,0.0
1083,1.0,1,Rare,1.0,0.0
1116,0.7142857142857143,7,Rare,0.7142857142857143,0.0
1119,0.75,4,Rare,0.75,0.0
1130,1.0,7,Rare,1.0,0.0
1137,1.0,1,Rare,1.0,0.0
1251,1.0,18,Commun,1.0,0.0
1325,1.0,3,Rare,1.0,0.0
1370,1.0,3,Rare,1.0,0.0
1378,1.0,2,Rare,1.0,0.0
1558,1.0,15,Rare,1.0,0.0
1569,1.0,3,Rare,1.0,0.0
1573,1.0,1,Rare,1.0,0.0
1627,1.0,17,Rare,1.0,0.0
1678,1.0,7,Rare,1.0,0.0
1683,1.0,5,Rare,1.0,0.0
1691,1.0,3,Rare,1.0,0.0
1692,1.0,26,Commun,1.0,0.0
1729,1.0,7,Rare,1.0,0.0
1786,1.0,7,Commun,1.0,0.0
1795,0.6666666666666666,3,Rare,0.6666666666666666,0.0
1812,1.0,1,Rare,1.0,0.0
1816,1.0,1,Rare,1.0,0.0
1832,1.0,1,Rare,1.0,0.0
1847,1.0,1,Rare,1.0,0.0
1857,1.0,1,Rare,0.0,-1.0
1863,1.0,3,Rare,1.0,0.0
1940,1.0,1,Rare,1.0,0.0
1941,1.0,1,Rare,1.0,0.0
1955,0.5333333333333333,15,Rare,0.5333333333333333,0.0
1982,1.0,46,Commun,1.0,0.0
1991,0.8,5,Rare,0.8,0.0
2016,1.0,2,Rare,1.0,0.0
2018,1.0,1,Rare,1.0,0.0
2034,1.0,1,Rare,1.0,0.0
2078,1.0,1,Rare,1.0,0.0
2079,1.0,3,Rare,1.0,0.0
2100,1.0,1,Rare,1.0,0.0
2112,1.0,4,Rare,1.0,0.0
2113,1.0,1,Rare,1.0,0.0
2116,1.0,1,Rare,1.0,0.0
2122,1.0,6,Rare,1.0,0.0
2134,1.0,6,Rare,1.0,0.0
2140,1.0,2,Rare,1.0,0.0
2147,1.0,6,Rare,1.0,0.0
2151,1.0,16,Commun,1.0,0.0
2154,0.75,4,Rare,0.5,-0.25
2215,1.0,1,Rare,1.0,0.0
2217,1.0,6,Rare,1.0,0.0
2221,0.8333333333333334,12,Commun,1.0,0.16666666666666663
2223,1.0,1,Rare,1.0,0.0
2289,1.0,3,Rare,1.0,0.0
2391,0.6666666666666666,3,Rare,0.6666666666666666,0.0
2475,1.0,1,Rare,1.0,0.0
2518,0.0,1,Rare,0.0,0.0
2519,1.0,1,Rare,1.0,0.0
2620,1.0,7,Rare,1.0,0.0
2655,0.0,1,Rare,0.0,0.0
2663,1.0,3,Rare,1.0,0.0
2664,1.0,1,Rare,1.0,0.0
2680,1.0,6,Rare,1.0,0.0
2739,1.0,1,Rare,1.0,0.0
2742,1.0,1,Rare,1.0,0.0
2745,1.0,3,Rare,1.0,0.0
2758,1.0,3,Rare,1.0,0.0
2765,1.0,5,Rare,1.0,0.0
2778,1.0,5,Rare,1.0,0.0
2808,1.0,11,Rare,1.0,0.0
2998,1.0,2,Rare,1.0,0.0
2999,1.0,3,Rare,1.0,0.0
3003,1.0,7,Rare,1.0,0.0
3004,1.0,34,Commun,1.0,0.0
3005,1.0,2,Rare,1.0,0.0
3006,1.0,8,Rare,1.0,0.0
3007,1.0,49,Commun,1.0,0.0
3059,1.0,5,Rare,0.8,-0.19999999999999996
3090,1.0,2,Rare,1.0,0.0
3092,1.0,3,Rare,1.0,0.0
3104,1.0,3,Rare,1.0,0.0
3161,1.0,1,Rare,1.0,0.0
3182,1.0,3,Rare,1.0,0.0
3194,1.0,3,Rare,1.0,0.0
3202,1.0,2,Rare,1.0,0.0
3210,1.0,4,Rare,1.0,0.0
3211,1.0,4,Rare,1.0,0.0
3218,1.0,4,Rare,1.0,0.0
3248,1.0,1,Rare,1.0,0.0
3253,1.0,2,Rare,1.0,0.0
3260,1.0,2,Rare,1.0,0.0
3284,1.0,3,Rare,1.0,0.0
3290,0.475,40,Commun,0.475,0.0
3295,0.3333333333333333,9,Rare,0.3333333333333333,0.0
3297,0.0,1,Rare,0.0,0.0
3344,0.875,8,Rare,0.875,0.0
3586,1.0,4,Rare,1.0,0.0
3587,1.0,4,Rare,1.0,0.0
3605,1.0,1,Rare,1.0,0.0
3630,1.0,5,Rare,0.8,-0.19999999999999996
3661,1.0,1,Rare,1.0,0.0
3664,1.0,1,Rare,1.0,0.0
3668,1.0,10,Commun,1.0,0.0
3791,1.0,1,Rare,1.0,0.0
3800,1.0,3,Rare,1.0,0.0
3805,1.0,20,Commun,1.0,0.0
3844,0.0,1,Rare,0.0,0.0
3845,0.8888888888888888,18,Commun,1.0,0.11111111111111116
3853,1.0,1,Rare,1.0,0.0
3914,1.0,24,Commun,1.0,0.0
3919,1.0,2,Rare,1.0,0.0
3977,1.0,1,Rare,1.0,0.0
3979,1.0,2,Rare,1.0,0.0
4020,1.0,1,Rare,1.0,0.0
4030,0.9705882352941176,34,Commun,0.9705882352941176,0.0
4033,1.0,2,Rare,1.0,0.0
4039,1.0,2,Rare,1.0,0.0
4042,1.0,4,Rare,1.0,0.0
4052,1.0,1,Rare,1.0,0.0
4053,1.0,2,Rare,1.0,0.0
4070,1.0,1,Rare,1.0,0.0
4117,1.0,3,Rare,1.0,0.0
4147,1.0,28,Commun,1.0,0.0
4192,1.0,7,Rare,1.0,0.0
4193,1.0,7,Rare,1.0,0.0
4226,0.6666666666666666,3,Rare,0.6666666666666666,0.0
4231,1.0,1,Rare,1.0,0.0
4284,1.0,1,Rare,1.0,0.0
4285,1.0,1,Rare,1.0,0.0
4294,0.8,5,Rare,0.8,0.0
4309,1.0,1,Rare,1.0,0.0
4315,1.0,3,Rare,1.0,0.0
4322,1.0,1,Rare,1.0,0.0
4325,1.0,3,Rare,1.0,0.0
4328,1.0,2,Rare,1.0,0.0
4350,1.0,2,Rare,1.0,0.0
4360,1.0,2,Rare,1.0,0.0
4429,1.0,3,Rare,1.0,0.0
4432,0.6,15,Commun,0.6,0.0
4486,1.0,6,Rare,1.0,0.0
4487,0.0,2,Rare,0.0,0.0
4534,1.0,3,Rare,1.0,0.0
4569,1.0,1,Rare,1.0,0.0
4580,1.0,1,Rare,1.0,0.0
4584,1.0,3,Rare,1.0,0.0
4587,1.0,1,Rare,1.0,0.0
4613,1.0,8,Rare,1.0,0.0
4616,1.0,3,Rare,1.0,0.0
4630,1.0,1,Rare,1.0,0.0
4633,1.0,1,Rare,1.0,0.0
4644,1.0,1,Rare,1.0,0.0
4688,1.0,5,Rare,1.0,0.0
4709,1.0,2,Rare,1.0,0.0
4732,1.0,2,Rare,1.0,0.0
4734,1.0,1,Rare,1.0,0.0
4737,1.0,5,Rare,0.8,-0.19999999999999996
4747,1.0,1,Rare,1.0,0.0
4749,0.0,1,Rare,0.0,0.0
4760,1.0,1,Rare,1.0,0.0
4806,1.0,3,Rare,1.0,0.0
4810,1.0,4,Rare,1.0,0.0
4815,1.0,2,Rare,1.0,0.0
4856,1.0,1,Rare,1.0,0.0
4875,1.0,9,Commun,1.0,0.0
