observation_id,ground_truth_val
1018426563,36011
1001598116,29479
1001794023,5757
1002862610,32380
1001007022,43045
1008475635,50899
1016195595,48736
1002504312,28397
1006868077,4737
1001599998,28214
1001604719,43057
1001319771,20366
1000620789,37102
1001481243,28214
1000677262,43267
1001728797,20366
1001766684,3092
1001885047,5651
1002068458,36913
1002219807,15763
1002287487,11699
1002284854,9300
1002403545,14418
1002616384,42657
1002792191,36932
1002792220,36932
1002792221,36932
1002792225,36958
1002792226,36958
1002930568,36932
1002792232,36932
1002979415,37273
1002792179,36950
1002792180,36958
1002792101,22502
1002708354,39046
1002919849,9073
1002836755,13632
1002983061,51178
1003255650,14149
1003265623,2998
1003275870,2998
1003334812,43514
1003334830,43514
1003334924,43514
1003345047,36931
1003366896,36958
1003397976,39665
1003425218,28214
1003425996,36950
1003437658,28214
1003437670,28214
1003486359,36931
1003494206,4051
1003501723,28214
1003506503,36958
1003521979,36931
1003522126,36958
1003525042,36958
1003525069,36931
1003588799,28214
1003598103,36950
1003615422,36958
1003670030,48024
1003673518,48024
1003687886,28214
1003687931,28214
1003733721,36932
1003795013,47300
1003820004,4644
1003821882,3092
1003840258,36964
1003846124,20366
1003861263,47300
1003911468,47300
1003917534,12024
1003929281,36932
1003930154,36932
1003942426,37112
1003955491,36932
1003959308,16698
1003959823,11047
1003984120,36934
1003991131,36950
1003994701,36950
1004008342,36932
1004037322,35554
1004064213,42657
1004143867,42657
1004143893,42657
1004194363,36932
1004194936,36932
1004195641,22502
1004345637,27981
1004345928,27981
1004471155,43267
1004506147,26318
1004588126,14418
1004588139,27652
1004789794,42657
1004869969,11776
1004991946,27652
1005005204,27652
1005026397,39329
1005083538,27533
1005155036,2475
1005157682,47300
1005266273,12925
1005309111,14149
1005350976,12024
1005394948,47300
1005515572,6878
1005579548,43514
1005579562,43514
1005579579,43514
1005593978,36958
1005604062,36958
1005604169,36958
1005604228,36958
1005663461,36958
1005672228,25414
1005754173,36950
1005914816,36950
1006048193,36913
1006120583,36913
1006133120,2475
1006141156,37112
1006259301,36913
1006330990,30673
1006371106,28214
1006493836,36964
1006517377,36947
1006521666,29166
1006523890,37339
1006627816,41259
1006783486,36913
1006932199,36913
1006987998,3007
1007248165,27652
1007299578,20467
1007764780,43267
1007969856,9073
1007989224,881
1008024829,42635
1008068233,4613
1008204673,25414
1008397486,5734
1008474918,42635
1008566587,28450
1008589391,20467
1008829883,42657
1008880355,21816
1009089377,5651
1009092601,29016
1009092692,42635
1009386498,12024
1009445392,11776
1009460128,42635
1009469697,22936
1009510734,15353
1009548657,26402
1009548733,4613
1009559415,7294
1009563008,42657
1009568561,41259
1009580630,41259
1009583757,43267
1009609169,42601
1009610455,39665
1009612872,2998
1009613637,42601
1009709538,42601
1009749418,45066
1009776555,36950
1009823985,53740
1009875726,15221
1009893460,36958
1009893470,36958
1009928812,3004
1009950747,36963
1009950902,36960
1009951237,36970
1009960097,36950
1009984264,22021
1010002784,7294
1010012078,42635
1010042656,36950
1010056117,29162
1010064790,36961
1010105430,37116
1010105526,37112
1010190034,37115
1010190129,57654
1010190169,49001
1010198045,36932
1010198294,36932
1010198404,36932
1010218048,12028
1010355406,36932
1010420616,36942
1010432392,36950
1010507648,53740
1010509558,36950
1010509561,36950
1010531015,37102
1010566092,36964
1010566208,37118
1010566353,20467
1010674591,53740
1010699371,37113
1010711658,3092
1010850829,9073
1010902219,47300
1010986890,53740
1010989950,11128
1011145764,41259
1011391408,48024
1011443740,5651
1011444586,48806
1011484483,16698
1011487497,14418
1011590144,43267
1011595932,27652
1011654512,11776
1011665752,517
1011676075,26402
1011677445,4613
1011684324,55280
1011699122,39329
1011762526,12024
1011806510,19919
1011815522,4051
1011848365,881
1011886948,47300
1011971144,27652
1011971254,42222
1012087884,9073
1012092391,25545
1012109179,20467
1012139869,4613
1012140563,26427
1012192313,41259
1012194534,23524
1012263525,29203
1012312884,26429
1012349215,53590
1012361510,43267
1012451107,8602
1012531423,16698
1012599022,36958
1012599435,36950
1012599492,11048
1012600991,36100
1012602131,23045
1012602149,7921
1012605517,5651
1012605674,27533
1012605681,11776
1012608292,39329
1012610663,36950
1012612534,5089
1012615243,34637
1012616275,29234
1012616305,881
1012616464,11780
1012617013,16165
1012617034,6746
1012617068,20344
1012617966,42635
1012617985,48806
1012619124,27652
1012619261,42657
1012619359,11776
1012720471,7294
1012726022,5651
1012757247,29162
1012760097,26982
1012770860,48024
1012778680,26982
1012834805,20366
1012869175,36931
1012875274,41259
1012885598,42635
1012945929,51643
1012946341,27457
1012961314,20366
1012964744,43267
1012975764,42635
1012998644,48158
1013102943,37105
1013119673,36950
1013134618,37280
1013178368,42635
1013250195,37102
1013292503,51178
1013315041,47300
1013324798,36950
1013438938,55280
1013462249,3092
1013533721,51178
1013568268,37280
1013641480,48024
1013682163,36934
1013756162,47300
1013794866,47300
1013811748,25609
1013813100,47300
1013906205,20210
1014150929,39684
1014167909,4613
1014168505,39684
1014180590,37743
1014209535,37105
1014248784,46403
1014248833,46403
1014256499,11776
1014308429,5651
1014345002,4613
1014409310,39684
1014410181,42615
1014639248,26318
1014767056,4613
1014807817,39329
1014811621,23461
1014999044,42657
1015127351,3342
1015223769,22502
1015268820,27533
1015442142,41259
1015565591,12356
1015677043,5734
1015748084,51178
1015769194,11047
1015906070,30689
1015909326,22502
1015932451,4613
1016304647,47300
1016340260,28467
1016341510,43531
1016362401,44948
1016376271,52392
1016591523,45990
1016620691,36931
1016620696,36931
1016620698,36950
1016653373,36950
1016767330,56327
1016767338,56327
1016824386,11128
1016852329,53863
1016853146,4613
1016853151,4613
1016853154,4613
1016853159,4613
1016853163,4613
1016890966,39329
1016903124,36950
1016907987,36146
1017006520,36961
1017008518,36961
1017094405,23871
1017104133,14955
1017104377,46221
1017104769,47300
1017104770,15745
1017105040,35162
1017105042,36950
1017105055,54417
1017105296,49779
1017105385,56247
1017105465,21160
1017105485,46221
1017106440,13542
1017106444,12229
1017106457,44334
1017106459,31662
1017106462,40986
1017106831,36950
1017106847,36950
1017130828,44901
1017133103,36950
1017133167,36950
1017163816,44901
1017163920,56327
1017196002,55289
1017235902,3004
1017236363,51178
1017236630,36958
1017247223,36950
1017274995,38224
1017303289,36950
1017304647,27704
1017324040,29162
1017405580,26384
1017409724,14437
1017410243,14437
1017531344,3092
1017534700,36950
1017534998,4644
1017547460,36950
1017548338,51163
1017595773,4815
1017607782,23439
1017607882,4644
1017757227,36964
1017762172,47300
1017762419,9073
1017849835,37112
1017850090,36932
1017883989,29166
1017894189,20467
1017935810,20467
1017937841,3007
1018014190,19110
1018014227,19110
1018019806,47300
1018148761,20467
1018241032,7921
1018279434,48137
1018326788,33022
1018340696,33826
1018342983,49060
1018343165,41498
1018348291,51339
1018348347,40223
1018348359,11861
1018348382,32765
1018353890,9085
1018353917,29390
1018353983,29695
1018354032,43271
1018354045,8454
1018354826,14317
1018354831,55884
1018368174,27392
1018368212,23045
1018378180,26006
1018378972,25965
1018379549,56383
1018380184,45066
1018380343,26495
1018381558,37084
1018381715,30619
1018381842,43299
1018398089,7808
1018398493,46143
1018398776,27393
1018398902,48766
1018398980,48766
1018399296,22987
1018399411,11787
1018399479,11787
1018399655,4709
1018399757,10840
1018399880,33436
1018399962,33689
1018400178,31514
1018401384,10592
1018401429,495
1018401700,22069
1018403097,36823
1018403585,33689
1018403629,46143
1018404115,31520
1018404166,31520
1018415974,21431
1018415985,41492
1018422523,4978
1018429150,9933
1018440473,54214
1018449607,43299
1018515005,40384
1018516752,36802
1018520700,41531
1018531512,20072
1018536529,40626
1018536765,26414
1018536964,30310
1018537852,10097
1018538306,56377
1018538559,43282
1018539000,43544
1018539285,6999
1018539462,22502
1018539945,41035
1018540126,8729
1018540479,46563
1018543653,42185
1018543829,43282
1018544011,10102
1018544162,6999
1018544352,44436
1018544765,49417
1018545050,31919
1018549754,14315
1018549803,29233
1018555599,38225
1018563573,43282
1018563852,22552
1018564311,18754
1018564550,38374
1018564662,48386
1018564804,47155
1018564984,44377
1018576205,25793
1018576866,26919
1018580850,53068
1018585814,47206
1018592500,54262
1018592540,54262
1018594832,42155
1018594878,19562
