observation_id,vraie_espece,ensemble,taille,couvert
1003820000,373,[373],1,True
1012600000,55552,[55552],1,True
1016340001,2221,"[2221, 2214, 2241]",3,True
1009950001,29736,[29736],1,True
1001600002,10197,[10197],1,True
1001600003,10197,[10197],1,True
1008880003,21016,"[21016, 21024]",2,True
1003820003,27570,[27570],1,True
1003900005,33866,[33866],1,True
1003900006,14660,[14660],1,True
1020010006,4294,[4294],1,True
1003820007,3914,[3914],1,True
1014760009,49480,[49480],1,True
1003520009,56212,[56212],1,True
1003820013,5488,[5488],1,True
1019020014,47971,[47971],1,True
1011680014,21188,"[21517, 21410]",2,False
1004670017,31774,"[31774, 31808]",2,True
1005470017,25775,[25775],1,True
1004670018,10934,[10934],1,True
1013630019,26442,[26442],1,True
1004670019,10618,[10618],1,True
1009580021,11804,[11804],1,True
1005810021,56400,[56400],1,True
1005600021,35840,"[35840, 35841]",2,True
1004870024,22975,[22975],1,True
1004670025,12385,[12385],1,True
1017630026,56329,[56329],1,True
1006030027,37084,[37084],1,True
1004870028,8729,[8729],1,True
1003910029,42478,[42478],1,True
1003670030,48024,[48024],1,True
1020010031,47670,[47670],1,True
1015020031,6320,[6320],1,True
1005240032,23904,[23904],1,True
1003900032,9407,"[9407, 9409]",2,True
1011110032,20201,[20201],1,True
1019670034,53413,"[53413, 53384]",2,True
1009080036,17388,[17388],1,True
1008750038,52882,[52882],1,True
1011030039,22542,"[22532, 22542]",2,True
1004670039,56614,[56614],1,True
1008780039,32380,[32380],1,True
1003900040,26006,[26006],1,True
1015630040,17564,[17564],1,True
1003820042,53848,"[53848, 53841]",2,True
1012620042,11863,[11863],1,True
1013370042,4429,[4429],1,True
1003910044,417,[417],1,True
1009610045,10427,"[10427, 10431]",2,True
1016780046,37623,[37623],1,True
1003860048,46013,[np.int64(37897)],1,False
1015630049,22819,"[22819, 22814]",2,True
1011590049,23673,[23673],1,True
1004160051,36949,[36949],1,True
1011370052,19,"[19, 48]",2,True
1009950052,13589,"[13589, 13591]",2,True
1016780056,29666,[29666],1,True
1004160057,3004,[3004],1,True
1020010058,49374,[49374],1,True
1018860059,21816,[21816],1,True
1017850060,14675,[14675],1,True
1013370060,30985,"[30985, 30989]",2,True
1020050064,56614,[56614],1,True
1005270064,51950,[51950],1,True
1003820064,3104,[3104],1,True
1010220065,44377,"[44377, 47983]",2,True
1011590066,15775,[15775],1,True
1003900070,17002,"[17004, 17002]",2,True
1016260073,13589,[13589],1,True
1005340075,23661,"[23682, 23661]",2,True
1009080076,44334,[44334],1,True
1005340077,49670,[49670],1,True
1011220077,10645,[10645],1,True
1008880078,21016,[21016],1,True
1001820080,47076,[47218],1,False
1014920080,11705,"[11704, 11706]",2,False
1001600080,29329,"[29329, 29328]",2,True
1005340083,9460,"[9460, 9458]",2,True
1020050084,56614,[56614],1,True
1016760084,21227,"[21079, 21227]",2,True
1014920085,26342,[26342],1,True
1011220086,36800,[36800],1,True
1009060086,36704,[36704],1,True
1011670088,30282,"[30282, 30276]",2,True
1003040088,23661,"[23682, 23624, 23661]",3,True
1020010089,47658,"[47658, 47623]",2,True
1017850090,36932,"[36932, 36966]",2,True
1020050091,28648,[28648],1,True
1016490091,21868,[21868],1,True
1002410094,19478,"[19478, 19521]",2,True
1003900094,53021,"[53021, 52976]",2,True
1014760096,25499,"[25499, 25487]",2,True
1009960097,36950,[36950],1,True
1017850098,30971,[30971],1,True
1011370099,46008,[np.int64(46077)],1,False
1001830100,37555,"[37577, 37638]",2,False
1003670101,25965,[25965],1,True
1014920104,11705,"[11704, 11706]",2,False
1014260104,42951,[42951],1,True
1003900104,54411,"[54411, 54418]",2,True
1002190106,30310,[30310],1,True
1016220107,48766,[48766],1,True
1020010107,46969,[46969],1,True
1015150108,44250,"[44250, 44251]",2,True
1002600109,16653,[16653],1,True
1002600111,28463,[28463],1,True
1016490111,7687,[7687],1,True
1008770112,4147,[4147],1,True
1017760113,13280,[13280],1,True
1020010115,29949,[29949],1,True
1008770118,51355,[51355],1,True
1000620118,44591,"[44591, 44703]",2,True
1003900119,50911,"[50930, 50911]",2,True
1003900120,50931,[50931],1,True
1016490125,25775,[25775],1,True
1018540126,8729,"[8729, 19775, 19796, 19761]",4,True
1009460128,42635,[42635],1,True
1003760132,38048,[38048],1,True
1003900132,6999,[6999],1,True
1016490133,26983,[26983],1,True
1010420133,28163,[28163],1,True
1003900133,17002,"[17002, 17004]",2,True
1017190134,35243,"[35243, 35265]",2,True
1012650136,10427,[10427],1,True
1006930139,3059,[3059],1,True
1003790140,22990,"[22990, 23093]",2,True
1001600142,44081,[44081],1,True
1019930142,45846,[45846],1,True
1011370143,11924,[11924],1,True
1010950144,32215,"[32215, 32224]",2,True
1011590144,43267,[43267],1,True
1014990144,52311,[52311],1,True
1003840145,41494,[41494],1,True
1000850146,56529,"[56544, 56529]",2,True
1004860148,49149,"[49149, 49166]",2,True
1016490148,21160,[21160],1,True
1012550150,36760,[36760],1,True
1003370152,35543,[35543],1,True
1010950155,39724,[48472],1,False
1003350155,37569,[37569],1,True
1012720157,40614,[40614],1,True
1004860160,10712,[10712],1,True
1012550165,33696,"[33693, 33701, 33689, 33696]",4,True
1018800165,23377,[23377],1,True
1008480165,55552,[55552],1,True
1008180166,9096,"[9096, 9002]",2,True
1008480167,33603,[33603],1,True
1005760167,31674,[31674],1,True
1010990171,1251,[1251],1,True
1003700175,36940,[36940],1,True
1009530176,22944,[22944],1,True
1004950177,373,[373],1,True
1009060177,32033,[32033],1,True
1018880177,9062,"[9062, 9085]",2,True
1008880178,23813,[23813],1,True
1003820180,13572,[13572],1,True
1002990180,27068,[27068],1,True
1014410181,42615,"[42615, 42627]",2,True
1003700181,14224,[14224],1,True
1020050182,41254,[41254],1,True
1003670182,37102,"[37115, 37102]",2,True
1002990183,55222,"[55223, 55225, 55220]",3,False
1018380184,45066,[45066],1,True
1008590184,1941,[1941],1,True
1016300186,44431,"[44431, 44423]",2,True
1010460189,42490,"[42490, 42501]",2,True
1012140189,9743,[9743],1,True
1004860190,22122,[22122],1,True
1014920190,47401,[47401],1,True
1004950192,55679,"[10733, 10734]",2,False
1004950194,32137,[32137],1,True
1013250195,37102,[37102],1,True
1004860195,41560,"[41566, 41560]",2,True
1010460200,29385,[29385],1,True
1004860201,55058,"[55058, 55059]",2,True
1003840201,54765,"[54765, 54768]",2,True
1003840202,1692,"[1692, 1680]",2,True
1011280202,33454,"[33430, 33454]",2,True
1008880204,43355,"[43355, 43377]",2,True
1005270208,56202,[56202],1,True
1006530209,44612,[44612],1,True
1003840212,37551,[37551],1,True
1008880213,21016,[21016],1,True
1010730214,43899,[43899],1,True
1014920215,31691,[31691],1,True
1014840216,373,[373],1,True
1004950217,50862,[50862],1,True
1008880219,21016,"[21024, 21016]",2,True
1009540223,27570,[27570],1,True
1012910223,9705,[9705],1,True
1004950223,25346,"[25346, 25344]",2,True
1003560224,13610,[13620],1,False
1013800224,54766,"[54766, 54703]",2,True
1003840224,37102,[37102],1,True
1014990226,20072,[20072],1,True
1004950227,9905,"[9899, 9905]",2,True
1012490228,43282,"[43282, 43291]",2,True
1003840229,55679,[10734],1,False
1008880236,8729,[8729],1,True
1013240236,29479,[29479],1,True
1012410237,47357,"[47357, 47371]",2,True
1008750237,409,[409],1,True
1008880238,14215,"[14215, 14224]",2,True
1010070238,42949,[42949],1,True
1010460243,44436,[44436],1,True
1003620245,21016,[21016],1,True
1010420245,31066,[31066],1,True
1011480245,6999,[6999],1,True
1015100246,3344,[3344],1,True
1020050246,10879,[10879],1,True
1013100247,53507,[53507],1,True
1013560248,10775,[10775],1,True
1020050250,2221,[2221],1,True
1002120250,36913,[36913],1,True
1006930250,3059,[3059],1,True
1003700253,17132,[17132],1,True
1002890253,46075,"[46008, 46075]",2,True
1004950255,12779,"[12779, 12797]",2,True
1002890255,29777,"[29777, 29766]",2,True
1005340255,38222,[38222],1,True
1001020256,44434,[44434],1,True
1019910257,13052,[13052],1,True
1017860257,23448,"[23453, 23448]",2,True
1004020260,30673,[30673],1,True
1016340260,28467,"[28475, 28467]",2,True
1016490260,55262,[55262],1,True
1002890260,43299,[43323],1,False
1003700261,56378,[56378],1,True
1016590263,46898,[46898],1,True
1002890265,14347,"[14355, 53021]",2,False
1010320265,15371,[15371],1,True
1010360266,35538,"[35513, 35538]",2,True
1011590266,48674,"[48674, 48668]",2,True
1001600268,31919,[31919],1,True
1006680268,2999,[2999],1,True
1017540270,41493,[41493],1,True
1017680271,3090,[3090],1,True
1003860274,49424,"[49424, 49489]",2,True
1003700275,39989,"[39989, 39994, 39998]",3,True
1002520277,26006,[26006],1,True
1014990279,15762,"[15762, 15763, 24760]",3,True
1003860279,3914,[3914],1,True
1001600280,7443,[7443],1,True
1006650280,9066,[9066],1,True
1004950281,1955,[1955],1,True
1001600281,21290,"[21290, 44592, 44716]",3,True
1006850282,37092,"[37092, 3003]",2,True
