observation_id,vraie_espece,groupe_vrai,ensemble,taille,couvert
1003820000,373,Commun,"[np.float64(373.0), np.float64(409.0)]",2,True
1012600000,55552,Commun,[np.float64(55552.0)],1,True
1016340001,2221,Commun,"[np.float64(2221.0), np.float64(2214.0), np.float64(2241.0), np.float64(27570.0), np.float64(42490.0), np.float64(14224.0)]",6,True
1009950001,29736,Rare,"[np.float64(29736.0), np.float64(29734.0)]",2,True
1001600002,10197,Rare,[np.float64(10197.0)],1,True
1001600003,10197,Rare,[np.float64(10197.0)],1,True
1008880003,21016,Commun,"[np.float64(21016.0), np.float64(21024.0)]",2,True
1003820003,27570,Commun,"[np.float64(27570.0), np.float64(37436.0)]",2,True
1003900005,33866,Rare,[np.float64(33866.0)],1,True
1003900006,14660,Rare,[np.float64(14660.0)],1,True
1020010006,4294,Rare,"[np.float64(4294.0), np.float64(4290.0), np.float64(21787.0)]",3,True
1003820007,3914,Commun,[np.float64(3914.0)],1,True
1014760009,49480,Rare,"[np.float64(49480.0), np.float64(49422.0)]",2,True
1003520009,56212,Commun,"[np.float64(56212.0), np.float64(56228.0)]",2,True
1003820013,5488,Commun,"[np.float64(5488.0), np.float64(5466.0)]",2,True
1019020014,47971,Rare,[np.float64(47971.0)],1,True
1011680014,21188,Commun,"[np.float64(21517.0), np.float64(21410.0), np.float64(21495.0), np.float64(21188.0)]",4,True
1004670017,31774,Commun,"[np.float64(31774.0), np.float64(31808.0), np.float64(31816.0), np.float64(29718.0)]",4,True
1005470017,25775,Commun,[np.float64(25775.0)],1,True
1004670018,10934,Commun,"[np.float64(10934.0), np.float64(10930.0)]",2,True
1013630019,26442,Rare,"[np.float64(26442.0), np.float64(26403.0), np.float64(26414.0), np.float64(26388.0), np.float64(26417.0), np.float64(26434.0), np.float64(40717.0), np.float64(27457.0)]",8,True
1004670019,10618,Rare,"[np.float64(10618.0), np.float64(10673.0), np.float64(10648.0), np.float64(10639.0), np.float64(10640.0)]",5,True
1009580021,11804,Commun,[np.float64(11804.0)],1,True
1005810021,56400,Rare,[np.float64(56400.0)],1,True
1005600021,35840,Rare,"[np.float64(35840.0), np.float64(35841.0), np.float64(37105.0), np.float64(37089.0), np.float64(35843.0), np.float64(26497.0), np.float64(37102.0), np.float64(35844.0)]",8,True
1004870024,22975,Commun,"[np.float64(22975.0), np.float64(22970.0), np.float64(22968.0)]",3,True
1004670025,12385,Rare,[np.float64(12385.0)],1,True
1017630026,56329,Rare,"[np.float64(56329.0), np.float64(56333.0), np.float64(5443.0)]",3,True
1006030027,37084,Commun,"[np.float64(37084.0), np.float64(26497.0), np.float64(26495.0)]",3,True
1004870028,8729,Rare,"[np.float64(8729.0), np.float64(19775.0), np.float64(19823.0)]",3,True
1003910029,42478,Commun,"[np.float64(42478.0), np.float64(42502.0)]",2,True
1003670030,48024,Rare,[np.float64(48024.0)],1,True
1020010031,47670,Rare,"[np.float64(47670.0), np.float64(47658.0), np.float64(47677.0)]",3,True
1015020031,6320,Rare,[np.float64(6320.0)],1,True
1005240032,23904,Rare,[np.float64(23904.0)],1,True
1003900032,9407,Commun,"[np.float64(9407.0), np.float64(9409.0)]",2,True
1011110032,20201,Rare,"[np.float64(20201.0), np.float64(20196.0)]",2,True
1019670034,53413,Rare,"[np.float64(53413.0), np.float64(53384.0)]",2,True
1009080036,17388,Rare,"[np.float64(17388.0), np.float64(20244.0)]",2,True
1008750038,52882,Commun,[np.float64(52882.0)],1,True
1011030039,22542,Commun,"[np.float64(22532.0), np.float64(22542.0), np.float64(2221.0), np.float64(28648.0), np.float64(44377.0)]",5,True
1004670039,56614,Rare,[np.float64(56614.0)],1,True
1008780039,32380,Rare,[np.float64(32380.0)],1,True
