vraie_espece,couverture,n_observations
19,0.9230769230769231,13
27,0.5,2
31,0.0,1
48,0.0,1
52,1.0,1
115,0.0,1
125,1.0,1
155,1.0,4
191,1.0,1
209,1.0,1
358,0.85,20
369,1.0,1
373,0.8571428571428571,28
376,1.0,1
409,1.0,20
412,1.0,8
417,0.8888888888888888,9
418,1.0,2
425,0.9411764705882353,17
426,1.0,16
433,1.0,1
483,1.0,7
493,1.0,1
495,1.0,23
497,1.0,3
498,1.0,1
499,1.0,1
503,1.0,1
529,1.0,1
655,1.0,7
657,1.0,12
749,1.0,2
846,1.0,1
877,0.6666666666666666,3
879,0.75,4
881,1.0,1
911,1.0,5
923,1.0,1
970,1.0,1
975,1.0,1
981,1.0,1
983,1.0,2
1083,1.0,1
1116,0.7142857142857143,7
1119,0.75,4
1130,0.8571428571428571,7
1137,0.0,1
1251,1.0,18
1325,1.0,3
1370,1.0,3
1378,1.0,2
1558,1.0,15
1569,1.0,3
1573,1.0,1
1627,1.0,17
1678,1.0,7
1683,1.0,5
1691,1.0,3
1692,1.0,26
1729,1.0,7
1786,1.0,7
1795,0.6666666666666666,3
1812,1.0,1
1816,1.0,1
1832,1.0,1
1847,1.0,1
1857,0.0,1
1863,1.0,3
1940,0.0,1
1941,1.0,1
1955,0.5333333333333333,15
1982,1.0,46
1991,0.6,5
2016,1.0,2
2018,1.0,1
2034,1.0,1
2078,1.0,1
2079,1.0,3
2100,1.0,1
2112,0.75,4
2113,1.0,1
2116,1.0,1
2122,1.0,6
2134,1.0,6
2140,1.0,2
2147,1.0,6
2151,1.0,16
2154,0.5,4
2215,1.0,1
2217,1.0,6
2221,0.8333333333333334,12
2223,1.0,1
2289,1.0,3
2391,0.6666666666666666,3
2475,0.0,1
2518,0.0,1
2519,1.0,1
2620,1.0,7
2655,0.0,1
2663,1.0,3
2664,1.0,1
2680,1.0,6
2739,1.0,1
2742,1.0,1
2745,1.0,3
2758,0.6666666666666666,3
2765,0.8,5
2778,1.0,5
2808,1.0,11
2998,1.0,2
2999,1.0,3
3003,1.0,7
3004,1.0,34
3005,1.0,2
3006,1.0,8
3007,1.0,49
3059,0.8,5
3090,1.0,2
3092,1.0,3
3104,1.0,3
3161,1.0,1
3182,1.0,3
3194,1.0,3
3202,1.0,2
3210,1.0,4
3211,1.0,4
3218,0.75,4
3248,1.0,1
3253,1.0,2
3260,1.0,2
3284,1.0,3
3290,0.45,40
3295,0.3333333333333333,9
3297,0.0,1
3344,0.75,8
3586,1.0,4
3587,1.0,4
3605,1.0,1
3630,0.6,5
3661,1.0,1
3664,1.0,1
3668,1.0,10
3791,1.0,1
3800,1.0,3
3805,1.0,20
3844,0.0,1
3845,0.8333333333333334,18
3853,1.0,1
3914,1.0,24
3919,1.0,2
3977,0.0,1
3979,1.0,2
4020,1.0,1
4030,0.9705882352941176,34
4033,1.0,2
4039,1.0,2
4042,0.75,4
4052,1.0,1
4053,1.0,2
4070,1.0,1
4117,0.6666666666666666,3
4147,0.8928571428571429,28
4192,0.8571428571428571,7
4193,1.0,7
4226,0.6666666666666666,3
4231,1.0,1
4284,1.0,1
4285,1.0,1
4294,0.8,5
4309,1.0,1
4315,1.0,3
4322,1.0,1
4325,1.0,3
4328,1.0,2
4350,1.0,2
4360,1.0,2
4429,1.0,3
4432,0.5333333333333333,15
4486,1.0,6
4487,0.0,2
4534,1.0,3
4569,1.0,1
4580,1.0,1
4584,1.0,3
4587,1.0,1
4613,1.0,8
4616,1.0,3
